x,y,TOAPE,TOHO,MURD,ATMU,COMU,MSLT,DRCD,TOAS,SEAS,OTAS,TOSO,RAAR,OTSO,TORO,ARRO,UNRO,EXTO,KAAE,OFAP,TOAPR,TOUE,UEWID,UEWTVD,UEWVD,UEWIS,UEWIO,ARSO,OTPD,MOVT,OTTH,STFD,SHST,STST,OTST,TOFR,FBCH,FBCC,OTFR,THSG,PPSS,RESP,PETP,OHSG,TOOO,DROF,PROF,LIDR,GAOF,TRAV,GOOO,TARD,MIOF
153.136,27.7397,10,0,0,0,0,0,0,5,4,1,1,0,1,1,1,0,0,0,3,223,97,95,95,0,0,2,0,34,12,78,35,0,0,43,2,0,1,1,0,0,0,0,0,4,0,0,0,0,1,1,0,2
153.132,26.6954,41,0,0,0,0,0,0,26,11,15,4,0,4,8,3,5,0,0,3,531,157,110,107,3,19,28,0,114,32,182,12,15,0,155,46,10,29,7,0,0,0,0,0,13,0,0,0,0,0,11,0,2
153.067,26.6897,36,0,0,0,0,0,0,2,1,1,32,0,32,1,1,0,0,0,1,163,93,81,81,0,1,11,0,27,6,34,8,0,0,26,3,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1
153.059,27.4512,36,1,0,1,0,0,0,23,17,6,1,0,1,7,6,1,0,1,3,548,229,66,65,1,41,122,2,105,52,124,6,1,0,117,36,10,11,15,0,0,0,0,0,4,0,0,0,0,1,1,0,2
153.404,28.0145,82,0,0,0,0,0,0,53,29,24,19,1,18,8,3,5,0,1,1,920,367,147,145,2,45,175,3,195,46,243,26,21,0,196,66,10,1,55,0,0,0,0,0,19,0,0,0,0,4,9,0,6
152.808,27.6064,61,2,2,0,0,0,0,35,14,21,8,0,8,5,2,3,0,1,10,640,284,232,231,1,16,36,1,106,30,147,28,3,0,116,72,2,8,62,0,0,0,0,0,14,0,0,0,0,5,6,1,2
152.944,27.367,123,0,0,0,0,0,0,72,34,38,17,0,17,19,5,14,1,1,13,1483,226,51,51,0,29,146,1,345,144,713,4,18,0,691,54,7,10,37,0,0,0,0,0,24,0,0,1,0,4,15,1,3
153.161,27.5673,30,0,0,0,0,0,0,21,18,3,1,0,1,4,1,3,0,0,4,443,133,34,34,0,17,82,0,122,37,125,2,5,0,118,26,11,1,14,0,0,0,0,0,12,0,0,0,0,6,3,0,3
153.443,28.0978,30,0,0,0,0,0,0,13,8,5,3,2,1,12,6,6,0,0,2,279,99,57,55,2,4,38,6,34,18,110,7,2,0,101,12,8,1,3,0,0,0,0,0,3,0,0,0,0,0,1,1,1
153.432,28.0889,121,1,0,0,0,0,1,63,26,37,11,4,7,31,21,10,1,1,13,1638,392,177,172,5,55,160,3,294,137,540,29,79,0,432,272,15,76,181,0,0,0,0,0,25,0,0,0,0,6,14,2,3
152.994,27.1569,40,0,0,0,0,0,0,13,6,7,21,1,20,0,0,0,0,1,5,508,202,151,151,0,10,41,1,105,49,148,21,1,0,126,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,2
152.965,27.0676,4,0,0,0,0,0,0,2,1,1,1,0,1,1,1,0,0,0,0,83,23,16,16,0,0,7,2,29,6,23,3,0,0,20,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
153.047,27.6237,39,0,0,0,0,0,0,21,8,13,3,0,3,10,7,3,0,1,4,393,190,161,160,1,8,21,2,81,20,100,15,1,0,84,0,0,0,0,0,0,0,0,0,16,0,0,0,0,5,8,0,3
153.126,26.799,63,0,0,0,0,0,0,18,11,7,3,1,2,28,23,5,0,1,13,817,256,172,169,3,42,42,0,140,71,243,19,25,0,199,107,16,9,82,0,0,0,0,0,9,0,0,0,0,2,4,0,3
152.92,27.6407,84,1,1,0,0,0,0,40,25,15,18,2,16,9,6,3,0,3,13,1405,183,87,84,3,33,63,6,215,247,526,20,136,0,370,228,21,45,162,0,0,0,0,0,11,0,0,0,0,0,5,0,6
153.075,27.499,68,0,0,0,0,0,0,46,30,16,11,0,11,5,1,4,0,0,6,518,239,195,192,3,3,41,4,75,78,116,3,1,0,112,6,3,2,1,0,0,0,0,0,22,0,0,0,0,1,5,0,16
152.874,27.4014,74,1,0,1,0,0,0,38,30,8,16,3,13,10,6,4,0,1,8,1153,430,348,340,8,23,59,4,139,77,377,75,30,0,272,126,16,10,100,0,0,0,0,0,20,2,0,0,0,8,7,0,3
153.094,27.4731,62,1,0,1,0,0,0,32,12,20,17,2,15,7,5,2,0,0,5,950,309,239,234,5,2,68,1,172,88,294,23,1,0,270,86,2,20,64,0,0,0,0,0,8,0,0,0,0,0,7,0,1
153.165,28.0231,39,0,0,0,0,0,0,29,9,20,5,0,5,0,0,0,0,2,3,447,178,65,65,0,16,97,0,87,26,134,9,3,0,122,22,4,4,14,0,0,0,0,0,2,0,0,0,0,0,2,0,0
153.202,27.5425,26,0,0,0,0,0,0,13,7,6,3,0,3,7,3,4,0,0,3,459,162,74,72,2,30,58,2,72,35,115,15,3,0,97,73,9,20,44,0,0,0,0,0,5,0,0,0,0,1,2,0,2
153.184,27.5181,53,0,0,0,0,0,0,26,12,14,7,1,6,15,9,6,0,0,5,945,276,168,166,2,55,53,3,137,60,280,20,41,0,219,189,9,18,162,0,0,0,0,0,17,0,0,0,0,3,9,0,5
